page	reference_only	svg_only	reference_only_chars	svg_only_chars	note
19	51	108	U+0028:(×1,U+002E:.×2,U+0030:0×7,U+0032:2×1,U+0035:5×5,U+0045:E×1,U+004C:L×1,U+0053:S×1,U+0056:V×4,U+005B:[×1,U+005D:]×1,U+2264:\u2264×1,U+2265:\u2265×2,U+33C1:\u33c1×2,U+ACF5:\uacf5×1,U+B85C:\ub85c×1,U+B958:\ub958×1,U+BE44:\ube44×1,U+C124:\uc124×1,U+C555:\uc555×2,U+C5F0:\uc5f0×2,U+C800:\uc800×2,U+C804:\uc804×2,U+C808:\uc808×2,U+CE6D:\uce6d×1,U+D45C:\ud45c×1,U+D56D:\ud56d×2,U+D5D8:\ud5d8×1,U+D68C:\ud68c×1	U+0029:)×1,U+002C:,×2,U+AC00:\uac00×2,U+AC04:\uac04×1,U+AC10:\uac10×2,U+AC1C:\uac1c×1,U+AC83:\uac83×1,U+ACBD:\uacbd×1,U+AD6C:\uad6c×1,U+B108:\ub108×2,U+B294:\ub294×4,U+B2E4:\ub2e4×2,U+B2E8:\ub2e8×3,U+B354:\ub354×1,U+B3C4:\ub3c4×1,U+B3C5:\ub3c5×1,U+B418:\ub418×1,U+B41C:\ub41c×1,U+B54C:\ub54c×1,U+B85D:\ub85d×1,U+B97C:\ub97c×1,U+B984:\ub984×2,U+B9BD:\ub9bd×1,U+B9C8:\ub9c8×1,U+BC29:\ubc29×2,U+C0C1:\uc0c1×2,U+C18C:\uc18c×2,U+C2DC:\uc2dc×1,U+C54A:\uc54a×2,U+C57C:\uc57c×1,U+C5B4:\uc5b4×1,U+C5D0:\uc5d0×4,U+C5EC:\uc5ec×1,U+C6B0:\uc6b0×1,U+C6C0:\uc6c0×1,U+C6D0:\uc6d0×1,U+C744:\uc744×4,U+C758:\uc758×1,U+C774:\uc774×4,U+C778:\uc778×2,U+C790:\uc790×2,U+C7A5:\uc7a5×3,U+C801:\uc801×1,U+C811:\uc811×1,U+C815:\uc815×5,U+C81C:\uc81c×1,U+C911:\uc911×1,U+C9C0:\uc9c0×9,U+CC28:\ucc28×3,U+CD09:\ucd09×1,U+CE58:\uce58×3,U+CE74:\uce74×2,U+D558:\ud558×4,U+D55C:\ud55c×1,U+D560:\ud560×1,U+D574:\ud574×2,U+D655:\ud655×1,U+D750:\ud750×2	-
20	78	37	U+002C:,×1,U+0033:3×1,U+AC00:\uac00×1,U+AC04:\uac04×1,U+AC10:\uac10×2,U+AC83:\uac83×1,U+ACBD:\uacbd×1,U+AD6C:\uad6c×1,U+B108:\ub108×2,U+B294:\ub294×2,U+B2E8:\ub2e8×3,U+B354:\ub354×1,U+B3C4:\ub3c4×1,U+B3C5:\ub3c5×1,U+B54C:\ub54c×1,U+B85D:\ub85d×1,U+B97C:\ub97c×1,U+B984:\ub984×2,U+B9BD:\ub9bd×1,U+B9C8:\ub9c8×1,U+BC29:\ubc29×1,U+C18C:\uc18c×2,U+C54A:\uc54a×2,U+C5D0:\uc5d0×4,U+C5EC:\uc5ec×1,U+C6B0:\uc6b0×1,U+C6C0:\uc6c0×1,U+C6D0:\uc6d0×1,U+C744:\uc744×4,U+C774:\uc774×3,U+C778:\uc778×2,U+C790:\uc790×1,U+C7A5:\uc7a5×1,U+C801:\uc801×1,U+C811:\uc811×1,U+C815:\uc815×4,U+C81C:\uc81c×1,U+C911:\uc911×1,U+C9C0:\uc9c0×6,U+C9C1:\uc9c1×1,U+CC28:\ucc28×2,U+CD09:\ucd09×1,U+CE58:\uce58×1,U+CE74:\uce74×1,U+D558:\ud558×3,U+D574:\ud574×2,U+D655:\ud655×1,U+D750:\ud750×2	U+002D:-×1,U+002E:.×4,U+0035:5×3,U+ACB0:\uacb0×1,U+ACE0:\uace0×2,U+AE30:\uae30×2,U+B2A5:\ub2a5×1,U+B3D9:\ub3d9×1,U+B77D:\ub77d×1,U+B824:\ub824×1,U+B85C:\ub85c×2,U+BD88:\ubd88×1,U+C548:\uc548×2,U+C5C6:\uc5c6×1,U+C5ED:\uc5ed×1,U+C694:\uc694×1,U+C740:\uc740×1,U+C7AC:\uc7ac×1,U+C804:\uc804×4,U+C989:\uc989×1,U+CDA9:\ucda9×1,U+D3EC:\ud3ec×1,U+D544:\ud544×1,U+D568:\ud568×1,U+D68C:\ud68c×1	-
21	29	118	U+0029:)×1,U+002D:-×1,U+0032:2×1,U+0035:5×1,U+ACB0:\uacb0×1,U+B2A5:\ub2a5×1,U+B41C:\ub41c×1,U+B824:\ub824×1,U+BD88:\ubd88×1,U+C0C1:\uc0c1×1,U+C2DC:\uc2dc×1,U+C5C6:\uc5c6×1,U+C5ED:\uc5ed×1,U+C694:\uc694×1,U+C790:\uc790×1,U+C7A5:\uc7a5×1,U+C804:\uc804×1,U+C815:\uc815×1,U+C989:\uc989×1,U+C9C0:\uc9c0×3,U+CDA9:\ucda9×1,U+CE58:\uce58×1,U+CE74:\uce74×1,U+D3EC:\ud3ec×1,U+D544:\ud544×1,U+D560:\ud560×1,U+D568:\ud568×1	U+0028:(×1,U+002E:.×1,U+0034:4×1,U+0036:6×1,U+AC83:\uac83×1,U+ACBD:\uacbd×1,U+ACC4:\uacc4×1,U+ACFC:\uacfc×1,U+B294:\ub294×3,U+B2E4:\ub2e4×1,U+B2E8:\ub2e8×3,U+B3C4:\ub3c4×2,U+B3D9:\ub3d9×3,U+B418:\ub418×3,U+B4E0:\ub4e0×2,U+B4E4:\ub4e4×1,U+B7EC:\ub7ec×1,U+B825:\ub825×2,U+B85C:\ub85c×4,U+B904:\ub904×1,U+B97C:\ub97c×1,U+B9AC:\ub9ac×2,U+B9C1:\ub9c1×1,U+BA74:\uba74×1,U+BAA8:\ubaa8×2,U+BC0F:\ubc0f×1,U+BD80:\ubd80×2,U+BD84:\ubd84×2,U+BE44:\ube44×1,U+C0AC:\uc0ac×1,U+C11C:\uc11c×1,U+C124:\uc124×1,U+C131:\uc131×1,U+C18C:\uc18c×1,U+C2A4:\uc2a4×2,U+C2E4:\uc2e4×2,U+C561:\uc561×1,U+C57C:\uc57c×2,U+C5B4:\uc5b4×2,U+C5D0:\uc5d0×5,U+C608:\uc608×1,U+C6A9:\uc6a9×1,U+C6B0:\uc6b0×1,U+C704:\uc704×2,U+C735:\uc735×1,U+C73C:\uc73c×3,U+C744:\uc744×1,U+C758:\uc758×1,U+C774:\uc774×5,U+C778:\uc778×2,U+C791:\uc791×4,U+C810:\uc810×3,U+C811:\uc811×4,U+C838:\uc838×1,U+CC28:\ucc28×1,U+CC29:\ucc29×1,U+CD09:\ucd09×1,U+CD5C:\ucd5c×1,U+CD94:\ucd94×1,U+D0C4:\ud0c4×1,U+D0DC:\ud0dc×1,U+D130:\ud130×1,U+D488:\ud488×1,U+D504:\ud504×1,U+D558:\ud558×1,U+D55C:\ud55c×6,U+D574:\ud574×1,U+D5D8:\ud5d8×1,U+D655:\ud655×2,U+D788:\ud788×1	-
22	124	55	U+AC00:\uac00×1,U+AC1C:\uac1c×1,U+AC83:\uac83×1,U+ACBD:\uacbd×1,U+ACC4:\uacc4×1,U+ACE0:\uace0×2,U+AE30:\uae30×3,U+B294:\ub294×5,U+B2E4:\ub2e4×1,U+B2E8:\ub2e8×1,U+B3C4:\ub3c4×2,U+B3D9:\ub3d9×3,U+B418:\ub418×4,U+B4E0:\ub4e0×1,U+B4E4:\ub4e4×1,U+B77D:\ub77d×1,U+B7EC:\ub7ec×1,U+B825:\ub825×2,U+B85C:\ub85c×6,U+B904:\ub904×1,U+B97C:\ub97c×1,U+B9AC:\ub9ac×2,U+B9C1:\ub9c1×1,U+BA74:\uba74×1,U+BAA8:\ubaa8×1,U+BD80:\ubd80×2,U+BD84:\ubd84×2,U+BE44:\ube44×1,U+C0C1:\uc0c1×1,U+C11C:\uc11c×1,U+C124:\uc124×1,U+C131:\uc131×1,U+C18C:\uc18c×1,U+C2A4:\uc2a4×2,U+C2E4:\uc2e4×2,U+C548:\uc548×2,U+C561:\uc561×1,U+C57C:\uc57c×1,U+C5B4:\uc5b4×3,U+C5D0:\uc5d0×4,U+C608:\uc608×1,U+C6A9:\uc6a9×1,U+C6B0:\uc6b0×1,U+C704:\uc704×2,U+C735:\uc735×1,U+C73C:\uc73c×3,U+C758:\uc758×2,U+C774:\uc774×6,U+C778:\uc778×2,U+C791:\uc791×4,U+C7AC:\uc7ac×1,U+C804:\uc804×3,U+C810:\uc810×3,U+C811:\uc811×2,U+C838:\uc838×1,U+CC28:\ucc28×1,U+CC29:\ucc29×1,U+CD09:\ucd09×1,U+CD5C:\ucd5c×1,U+CD94:\ucd94×1,U+D0C4:\ud0c4×1,U+D0DC:\ud0dc×1,U+D130:\ud130×1,U+D488:\ud488×1,U+D504:\ud504×1,U+D558:\ud558×2,U+D55C:\ud55c×4,U+D574:\ud574×1,U+D655:\ud655×2,U+D68C:\ud68c×1,U+D788:\ud788×1	U+0028:(×1,U+0029:)×2,U+002D:-×1,U+002E:.×2,U+0030:0×2,U+0031:1×4,U+0032:2×2,U+0033:3×1,U+0034:4×2,U+0036:6×1,U+0037:7×1,U+0039:9×1,U+0043:C×2,U+0045:E×1,U+0049:I×1,U+004B:K×1,U+0053:S×1,U+ACB0:\uacb0×2,U+AD00:\uad00×1,U+AD6C:\uad6c×1,U+ADDC:\uaddc×1,U+ADF8:\uadf8×1,U+B41C:\ub41c×1,U+B530:\ub530×1,U+B77C:\ub77c×1,U+B828:\ub828×1,U+B9BC:\ub9bc×1,U+BC0F:\ubc0f×1,U+BC30:\ubc30×1,U+C120:\uc120×2,U+C2DC:\uc2dc×1,U+C2DD:\uc2dd×1,U+C5F0:\uc5f0×1,U+C790:\uc790×2,U+C815:\uc815×1,U+C870:\uc870×2,U+C9C0:\uc9c0×3,U+CC38:\ucc38×2,U+D45C:\ud45c×1	-
23	60	75	U+0028:(×2,U+0029:)×3,U+002D:-×1,U+0031:1×2,U+0032:2×2,U+0034:4×2,U+0036:6×2,U+0037:7×1,U+0039:9×1,U+0043:C×2,U+0045:E×1,U+0049:I×1,U+004B:K×1,U+0053:S×1,U+ACB0:\uacb0×2,U+AD00:\uad00×1,U+AD6C:\uad6c×1,U+ADDC:\uaddc×1,U+ADF8:\uadf8×1,U+B2E8:\ub2e8×2,U+B41C:\ub41c×1,U+B530:\ub530×1,U+B77C:\ub77c×1,U+B828:\ub828×1,U+B9BC:\ub9bc×1,U+BC0F:\ubc0f×2,U+BC29:\ubc29×1,U+BC30:\ubc30×1,U+C120:\uc120×2,U+C2DC:\uc2dc×2,U+C2DD:\uc2dd×1,U+C5F0:\uc5f0×1,U+C744:\uc744×1,U+C790:\uc790×2,U+C811:\uc811×2,U+C870:\uc870×1,U+C9C0:\uc9c0×3,U+CC28:\ucc28×1,U+CC38:\ucc38×2,U+CE58:\uce58×1,U+D45C:\ud45c×1,U+D5D8:\ud5d8×1	U+0035:5×2,U+AC00:\uac00×1,U+ACBD:\uacbd×1,U+ACC4:\uacc4×1,U+ACE0:\uace0×1,U+AD8C:\uad8c×1,U+AE30:\uae30×1,U+B0B4:\ub0b4×1,U+B294:\ub294×2,U+B2A5:\ub2a5×1,U+B3C4:\ub3c4×1,U+B3D9:\ub3d9×1,U+B418:\ub418×2,U+B4E0:\ub4e0×1,U+B54C:\ub54c×1,U+B824:\ub824×1,U+B85C:\ub85c×3,U+B958:\ub958×1,U+B97C:\ub97c×1,U+B9AC:\ub9ac×1,U+B9CC:\ub9cc×1,U+BAA8:\ubaa8×1,U+BD80:\ubd80×1,U+BE48:\ube48×1,U+C0AC:\uc0ac×2,U+C11C:\uc11c×1,U+C545:\uc545×1,U+C548:\uc548×3,U+C555:\uc555×1,U+C5B4:\uc5b4×3,U+C5C5:\uc5c5×1,U+C5D0:\uc5d0×1,U+C5EC:\uc5ec×1,U+C6A9:\uc6a9×3,U+C758:\uc758×3,U+C774:\uc774×2,U+C791:\uc791×2,U+C804:\uc804×4,U+C81C:\uc81c×1,U+CCB4:\uccb4×2,U+CD5C:\ucd5c×1,U+D2B8:\ud2b8×1,U+D488:\ud488×1,U+D504:\ud504×1,U+D558:\ud558×2,U+D560:\ud560×1,U+D5C8:\ud5c8×1,U+D615:\ud615×1,U+D655:\ud655×1,U+D68C:\ud68c×3,U+D720:\ud720×1,U+D788:\ud788×1	-
24	64	77	U+002E:.×4,U+0031:1×1,U+0033:3×1,U+0035:5×4,U+ACBD:\uacbd×1,U+ACFC:\uacfc×1,U+AD8C:\uad8c×1,U+B0B4:\ub0b4×1,U+B2A5:\ub2a5×1,U+B3D9:\ub3d9×2,U+B4E0:\ub4e0×2,U+B54C:\ub54c×1,U+B824:\ub824×1,U+B85C:\ub85c×3,U+B958:\ub958×1,U+B9AC:\ub9ac×1,U+BAA8:\ubaa8×2,U+BD80:\ubd80×1,U+BE48:\ube48×1,U+C0AC:\uc0ac×2,U+C545:\uc545×1,U+C548:\uc548×3,U+C5B4:\uc5b4×1,U+C5C5:\uc5c5×1,U+C5EC:\uc5ec×1,U+C6A9:\uc6a9×2,U+C774:\uc774×2,U+C791:\uc791×2,U+C804:\uc804×1,U+C815:\uc815×1,U+C81C:\uc81c×1,U+C870:\uc870×1,U+CCB4:\uccb4×2,U+CD5C:\ucd5c×1,U+D2B8:\ud2b8×1,U+D488:\ud488×1,U+D504:\ud504×1,U+D560:\ud560×1,U+D5C8:\ud5c8×1,U+D615:\ud615×1,U+D655:\ud655×1,U+D68C:\ud68c×3,U+D720:\ud720×1,U+D788:\ud788×1	U+0028:(×1,U+0029:)×1,U+002D:-×1,U+0032:2×2,U+0034:4×1,U+0036:6×2,U+0043:C×2,U+0045:E×2,U+0049:I×1,U+004B:K×1,U+004C:L×1,U+0050:P×1,U+0053:S×1,U+0056:V×1,U+AC15:\uac15×1,U+ACE0:\uace0×1,U+ACF5:\uacf5×1,U+AD6C:\uad6c×1,U+B294:\ub294×1,U+B2E4:\ub2e4×1,U+B2E8:\ub2e8×1,U+B300:\ub300×1,U+B3C4:\ub3c4×2,U+B418:\ub418×2,U+B530:\ub530×1,U+B77C:\ub77c×1,U+B808:\ub808×1,U+B85D:\ub85d×3,U+BA70:\uba70×1,U+BCF4:\ubcf4×4,U+BE44:\ube44×1,U+C11C:\uc11c×2,U+C124:\uc124×1,U+C218:\uc218×1,U+C2B9:\uc2b9×1,U+C2E4:\uc2e4×1,U+C54A:\uc54a×1,U+C57C:\uc57c×1,U+C591:\uc591×1,U+C5C6:\uc5c6×1,U+C5D0:\uc5d0×2,U+C6B4:\uc6b4×1,U+C744:\uc744×1,U+C77C:\uc77c×1,U+C800:\uc800×1,U+C810:\uc810×1,U+C811:\uc811×1,U+C911:\uc911×1,U+C9C0:\uc9c0×2,U+C9C8:\uc9c8×1,U+CC28:\ucc28×1,U+CD08:\ucd08×1,U+CDA9:\ucda9×2,U+CE74:\uce74×1,U+D1B5:\ud1b5×1,U+D558:\ud558×1,U+D55C:\ud55c×1,U+D589:\ud589×2,U+D638:\ud638×3	-
25	97	18	U+0028:(×1,U+0029:)×1,U+002C:,×1,U+002D:-×1,U+0030:0×2,U+0032:2×2,U+0036:6×2,U+0043:C×2,U+0045:E×2,U+0049:I×1,U+004B:K×1,U+004C:L×1,U+0050:P×1,U+0053:S×1,U+0056:V×1,U+AC00:\uac00×1,U+ACC4:\uacc4×1,U+ACE0:\uace0×2,U+ACF5:\uacf5×1,U+AD6C:\uad6c×1,U+AE30:\uae30×1,U+B294:\ub294×2,U+B2E4:\ub2e4×1,U+B2E8:\ub2e8×1,U+B300:\ub300×1,U+B3C4:\ub3c4×3,U+B418:\ub418×2,U+B530:\ub530×1,U+B77C:\ub77c×1,U+B808:\ub808×1,U+B85D:\ub85d×3,U+B97C:\ub97c×1,U+B9CC:\ub9cc×1,U+BA70:\uba70×1,U+BCF4:\ubcf4×4,U+BE44:\ube44×1,U+C0AC:\uc0ac×1,U+C11C:\uc11c×3,U+C218:\uc218×1,U+C2E4:\uc2e4×1,U+C54A:\uc54a×1,U+C555:\uc555×1,U+C57C:\uc57c×1,U+C591:\uc591×1,U+C5C6:\uc5c6×1,U+C5D0:\uc5d0×3,U+C6A9:\uc6a9×1,U+C740:\uc740×1,U+C744:\uc744×1,U+C758:\uc758×4,U+C77C:\uc77c×1,U+C800:\uc800×1,U+C804:\uc804×2,U+C810:\uc810×1,U+C811:\uc811×1,U+C911:\uc911×1,U+C9C0:\uc9c0×2,U+C9C8:\uc9c8×1,U+CC28:\ucc28×1,U+CD08:\ucd08×1,U+CDA9:\ucda9×2,U+D1B5:\ud1b5×1,U+D558:\ud558×3,U+D55C:\ud55c×2,U+D589:\ud589×2,U+D638:\ud638×3	U+002E:.×3,U+0031:1×2,U+0035:5×4,U+ACFC:\uacfc×1,U+B4E0:\ub4e0×1,U+BAA8:\ubaa8×1,U+C6B4:\uc6b4×1,U+C7A5:\uc7a5×2,U+CE58:\uce58×3	-
26	28	71	U+002E:.×4,U+0031:1×3,U+0034:4×2,U+0035:5×1,U+AC15:\uac15×1,U+ACFC:\uacfc×1,U+B2E4:\ub2e4×2,U+B418:\ub418×2,U+B4E0:\ub4e0×1,U+BAA8:\ubaa8×1,U+C124:\uc124×1,U+C2B9:\uc2b9×1,U+C57C:\uc57c×2,U+C5B4:\uc5b4×2,U+C5D0:\uc5d0×1,U+CE74:\uce74×1,U+D55C:\ud55c×2	U+002F:/×1,U+0030:0×3,U+0032:2×1,U+0033:3×1,U+0036:6×1,U+004E:N×2,U+005B:[×1,U+005D:]×1,U+223C:\u223c×1,U+339C:\u339c×2,U+AC00:\uac00×1,U+AD6C:\uad6c×1,U+ADF8:\uadf8×1,U+AE30:\uae30×1,U+AE38:\uae38×1,U+B0B4:\ub0b4×1,U+B300:\ub300×1,U+B3D9:\ub3d9×1,U+B808:\ub808×1,U+B825:\ub825×1,U+B8E8:\ub8e8×1,U+B97C:\ub97c×1,U+B9AC:\ub9ac×1,U+BC18:\ubc18×1,U+BC84:\ubc84×1,U+BCC4:\ubcc4×1,U+BD84:\ubd84×1,U+C0C1:\uc0c1×1,U+C0C9:\uc0c9×1,U+C18C:\uc18c×1,U+C2A4:\uc2a4×4,U+C2DD:\uc2dd×1,U+C640:\uc640×1,U+C6B4:\uc6b4×1,U+C704:\uc704×2,U+C758:\uc758×5,U+C774:\uc774×7,U+C790:\uc790×1,U+C791:\uc791×1,U+C804:\uc804×1,U+C870:\uc870×5,U+CD5C:\ucd5c×1,U+CE58:\uce58×1,U+D2F1:\ud2f1×4,U+D45C:\ud45c×1,U+D638:\ud638×1	-
27	66	67	U+002F:/×1,U+0030:0×3,U+0033:3×1,U+004E:N×2,U+005B:[×1,U+005D:]×1,U+223C:\u223c×1,U+339C:\u339c×2,U+AD6C:\uad6c×1,U+ADF8:\uadf8×1,U+AE38:\uae38×1,U+B0B4:\ub0b4×1,U+B300:\ub300×1,U+B3D9:\ub3d9×1,U+B825:\ub825×1,U+B8E8:\ub8e8×1,U+BC18:\ubc18×1,U+BC84:\ubc84×1,U+BCC4:\ubcc4×1,U+BD84:\ubd84×1,U+C0C1:\uc0c1×1,U+C0C9:\uc0c9×1,U+C18C:\uc18c×1,U+C2A4:\uc2a4×4,U+C2DD:\uc2dd×1,U+C640:\uc640×1,U+C6B4:\uc6b4×2,U+C704:\uc704×2,U+C758:\uc758×5,U+C774:\uc774×5,U+C790:\uc790×1,U+C791:\uc791×1,U+C7A5:\uc7a5×2,U+C804:\uc804×1,U+C870:\uc870×5,U+CD5C:\ucd5c×1,U+CE58:\uce58×3,U+D2F1:\ud2f1×4,U+D45C:\ud45c×1	U+002E:.×5,U+0031:1×2,U+0035:5×1,U+0037:7×1,U+AC00:\uac00×1,U+AC01:\uac01×2,U+ACBD:\uacbd×3,U+ACE0:\uace0×2,U+ACE1:\uace1×1,U+ACF5:\uacf5×1,U+ACFC:\uacfc×1,U+B294:\ub294×1,U+B2E4:\ub2e4×3,U+BC1C:\ubc1c×1,U+BCFC:\ubcfc×1,U+C0AC:\uc0ac×1,U+C0DD:\uc0dd×1,U+C120:\uc120×1,U+C13C:\uc13c×1,U+C218:\uc218×1,U+C2DC:\uc2dc×1,U+C2E0:\uc2e0×4,U+C57C:\uc57c×2,U+C5B4:\uc5b4×1,U+C5C6:\uc5c6×1,U+C5D0:\uc5d0×2,U+C6C0:\uc6c0×1,U+C744:\uc744×1,U+C77C:\uc77c×1,U+C801:\uc801×1,U+C81C:\uc81c×1,U+C9C1:\uc9c1×1,U+CCAD:\uccad×1,U+CCB4:\uccb4×2,U+CE74:\uce74×1,U+CF58:\ucf58×1,U+D2B8:\ud2b8×2,U+D504:\ud504×1,U+D55C:\ud55c×3,U+D574:\ud574×2,U+D589:\ud589×1,U+D615:\ud615×1,U+D638:\ud638×3,U+D720:\ud720×1	-
28	87	10	U+002E:.×8,U+0031:1×2,U+0032:2×1,U+0035:5×4,U+0036:6×1,U+0037:7×1,U+AC00:\uac00×1,U+AC01:\uac01×2,U+ACBD:\uacbd×3,U+ACE0:\uace0×2,U+ACE1:\uace1×1,U+ACF5:\uacf5×1,U+ACFC:\uacfc×1,U+AE30:\uae30×1,U+B294:\ub294×2,U+B2E4:\ub2e4×3,U+B808:\ub808×1,U+B97C:\ub97c×1,U+B9AC:\ub9ac×1,U+BC1C:\ubc1c×1,U+BCFC:\ubcfc×1,U+C0AC:\uc0ac×1,U+C0DD:\uc0dd×1,U+C120:\uc120×1,U+C13C:\uc13c×1,U+C218:\uc218×1,U+C2DC:\uc2dc×1,U+C2E0:\uc2e0×4,U+C57C:\uc57c×2,U+C5B4:\uc5b4×1,U+C5C6:\uc5c6×1,U+C5D0:\uc5d0×2,U+C6B4:\uc6b4×1,U+C6C0:\uc6c0×1,U+C744:\uc744×1,U+C774:\uc774×2,U+C77C:\uc77c×1,U+C7A5:\uc7a5×1,U+C801:\uc801×1,U+C804:\uc804×2,U+C81C:\uc81c×1,U+C9C1:\uc9c1×1,U+CCAD:\uccad×1,U+CCB4:\uccb4×2,U+CE58:\uce58×1,U+CF58:\ucf58×1,U+D2B8:\ud2b8×2,U+D504:\ud504×1,U+D55C:\ud55c×3,U+D574:\ud574×2,U+D589:\ud589×1,U+D615:\ud615×1,U+D638:\ud638×4,U+D720:\ud720×1	U+0029:)×2,U+B098:\ub098×1,U+C11D:\uc11d×2,U+C2DD:\uc2dd×2,U+C785:\uc785×1,U+C88C:\uc88c×1,U+CE74:\uce74×1	-
29	5	319	U+0029:)×1,U+C11D:\uc11d×1,U+C2DD:\uc2dd×2,U+C785:\uc785×1	U+002C:,×5,U+002E:.×11,U+0030:0×2,U+0032:2×2,U+0033:3×1,U+0035:5×1,U+0036:6×1,U+339C:\u339c×1,U+AC00:\uac00×4,U+AC10:\uac10×1,U+AC15:\uac15×2,U+AC78:\uac78×2,U+AC83:\uac83×1,U+AC8C:\uac8c×1,U+ACB0:\uacb0×1,U+ACC4:\uacc4×2,U+ACE0:\uace0×3,U+ACF5:\uacf5×2,U+AD6C:\uad6c×1,U+ADFC:\uadfc×1,U+B044:\ub044×1,U+B192:\ub192×1,U+B294:\ub294×10,U+B2A5:\ub2a5×1,U+B2E4:\ub2e4×8,U+B2E5:\ub2e5×1,U+B2E8:\ub2e8×4,U+B300:\ub300×6,U+B3C4:\ub3c4×1,U+B3D9:\ub3d9×2,U+B418:\ub418×5,U+B41C:\ub41c×3,U+B4F1:\ub4f1×4,U+B5A8:\ub5a8×1,U+B610:\ub610×3,U+B77D:\ub77d×4,U+B7AB:\ub7ab×1,U+B7EC:\ub7ec×1,U+B7FD:\ub7fd×1,U+B85C:\ub85c×7,U+B85D:\ub85d×1,U+B9AC:\ub9ac×1,U+B9C8:\ub9c8×1,U+BA74:\uba74×3,U+BB34:\ubb34×1,U+BB3C:\ubb3c×1,U+BBF8:\ubbf8×1,U+BC0F:\ubc0f×2,U+BC14:\ubc14×1,U+BC1B:\ubc1b×5,U+BC1C:\ubc1c×4,U+BC29:\ubc29×2,U+BCF4:\ubcf4×4,U+BD88:\ubd88×1,U+BE44:\ube44×1,U+C0C1:\uc0c1×3,U+C11C:\uc11c×1,U+C124:\uc124×2,U+C131:\uc131×1,U+C18C:\uc18c×1,U+C190:\uc190×1,U+C218:\uc218×4,U+C27D:\uc27d×1,U+C2B9:\uc2b9×1,U+C544:\uc544×1,U+C548:\uc548×1,U+C54A:\uc54a×4,U+C57C:\uc57c×7,U+C591:\uc591×1,U+C5B4:\uc5b4×9,U+C5D0:\uc5d0×8,U+C5EC:\uc5ec×1,U+C5F0:\uc5f0×1,U+C6A9:\uc6a9×1,U+C6B4:\uc6b4×2,U+C704:\uc704×5,U+C73C:\uc73c×4,U+C740:\uc740×4,U+C744:\uc744×2,U+C758:\uc758×9,U+C774:\uc774×13,U+C788:\uc788×5,U+C790:\uc790×3,U+C7A1:\uc7a1×1,U+C7A5:\uc7a5×5,U+C7AC:\uc7ac×1,U+C801:\uc801×1,U+C804:\uc804×1,U+C811:\uc811×2,U+C81C:\uc81c×4,U+C9C0:\uc9c0×7,U+C9C4:\uc9c4×2,U+CABD:\ucabd×1,U+CCD0:\uccd0×2,U+CD5C:\ucd5c×1,U+CD94:\ucd94×4,U+CE58:\uce58×8,U+CE68:\uce68×4,U+CE74:\uce74×4,U+D1B5:\ud1b5×1,U+D2B8:\ud2b8×1,U+D314:\ud314×2,U+D398:\ud398×1,U+D3BC:\ud3bc×2,U+D3FC:\ud3fc×1,U+D45C:\ud45c×2,U+D50C:\ud50c×1,U+D558:\ud558×5,U+D55C:\ud55c×9,U+D560:\ud560×1,U+D574:\ud574×3,U+D589:\ud589×2,U+D5A5:\ud5a5×1,U+D638:\ud638×4	-
